[0.000000] (-) TimerEvent: {}
[0.000467] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.000709] (-) JobUnselected: {'identifier': 'aruco'}
[0.000791] (-) JobUnselected: {'identifier': 'aruco_msgs'}
[0.000845] (-) JobUnselected: {'identifier': 'aruco_ros'}
[0.000881] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.000929] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.001018] (-) JobUnselected: {'identifier': 'bodyreader'}
[0.001108] (-) JobUnselected: {'identifier': 'bodyreader_msg'}
[0.001214] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001267] (-) JobUnselected: {'identifier': 'dual_laser_merger'}
[0.001295] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001321] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001347] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.001371] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.001395] (-) JobUnselected: {'identifier': 'ldlidar'}
[0.001419] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.001443] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.001466] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.001490] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.001516] (-) JobUnselected: {'identifier': 'multi_lidar_calibration'}
[0.001540] (-) JobUnselected: {'identifier': 'multi_lidar_calibrator'}
[0.001563] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001587] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001611] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.001635] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001659] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001682] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.001705] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001728] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.001752] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001776] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001800] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001823] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001848] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001872] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001897] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.001921] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001946] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001970] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001995] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.002021] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.002045] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.002069] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.002093] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.002118] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.002142] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
