[0.000000] (-) TimerEvent: {}
[0.000737] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.000998] (-) JobUnselected: {'identifier': 'aruco'}
[0.001191] (-) JobUnselected: {'identifier': 'aruco_msgs'}
[0.001272] (-) JobUnselected: {'identifier': 'aruco_ros'}
[0.001398] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.001461] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.001496] (-) JobUnselected: {'identifier': 'bodyreader'}
[0.001527] (-) JobUnselected: {'identifier': 'bodyreader_msg'}
[0.001579] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001613] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001927] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001988] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.002080] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.002133] (-) JobUnselected: {'identifier': 'ldlidar'}
[0.002171] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.002214] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.002247] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.002433] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.002491] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.002582] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.002635] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.002669] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.002701] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.002744] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.002776] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.003039] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.003107] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.003167] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.003224] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.003281] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.003336] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.003391] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.003459] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.003540] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.003649] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.003702] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.003735] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.003766] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.003799] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.003831] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.003861] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.003917] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.003950] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.003981] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.004187] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.004244] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.004307] (-) JobUnselected: {'identifier': 'nav2_waypoint_cycle'}
[0.004350] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.004383] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.004414] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.004443] (-) JobUnselected: {'identifier': 'navigation2'}
[0.004497] (-) JobUnselected: {'identifier': 'nmea_msgs'}
[0.004548] (-) JobUnselected: {'identifier': 'nmea_navsat_driver'}
[0.004602] (-) JobUnselected: {'identifier': 'ollama_ros_chat'}
[0.004700] (-) JobUnselected: {'identifier': 'ollama_ros_msgs'}
[0.004754] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.004787] (-) JobUnselected: {'identifier': 'orb_slam2_ros'}
[0.004819] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.004863] (-) JobUnselected: {'identifier': 'serial'}
[0.004894] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.004995] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.005046] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.005103] (-) JobUnselected: {'identifier': 'tts'}
[0.005144] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.005224] (-) JobUnselected: {'identifier': 'ublox'}
[0.005316] (-) JobUnselected: {'identifier': 'ublox_gps'}
[0.005368] (-) JobUnselected: {'identifier': 'ublox_msgs'}
[0.005406] (-) JobUnselected: {'identifier': 'ublox_serialization'}
[0.005440] (-) JobUnselected: {'identifier': 'ultralytics_ros2'}
[0.005481] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.005776] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.005843] (-) JobUnselected: {'identifier': 'wheeltec_aiui'}
[0.005902] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.005976] (-) JobUnselected: {'identifier': 'wheeltec_dual_rtk_driver'}
[0.006031] (-) JobUnselected: {'identifier': 'wheeltec_gps_driver'}
[0.006084] (-) JobUnselected: {'identifier': 'wheeltec_joy'}
[0.006148] (-) JobUnselected: {'identifier': 'wheeltec_mic_msg'}
[0.006224] (-) JobUnselected: {'identifier': 'wheeltec_mic_ros2'}
[0.006334] (-) JobUnselected: {'identifier': 'wheeltec_multi'}
[0.006389] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.006422] (-) JobUnselected: {'identifier': 'wheeltec_path_follow'}
[0.006453] (-) JobUnselected: {'identifier': 'wheeltec_robot_kcf'}
[0.006497] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.006528] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.006634] (-) JobUnselected: {'identifier': 'wheeltec_robot_rrt'}
[0.006707] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.006751] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.006783] (-) JobUnselected: {'identifier': 'wheeltec_rrt_msg'}
