[0.000000] (-) TimerEvent: {}
[0.000478] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.000716] (-) JobUnselected: {'identifier': 'aruco'}
[0.000800] (-) JobUnselected: {'identifier': 'aruco_msgs'}
[0.000857] (-) JobUnselected: {'identifier': 'aruco_ros'}
[0.000892] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.000940] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.001029] (-) JobUnselected: {'identifier': 'bodyreader'}
[0.001120] (-) JobUnselected: {'identifier': 'bodyreader_msg'}
[0.001230] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001284] (-) JobUnselected: {'identifier': 'dual_laser_merger'}
[0.001313] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001338] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001363] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.001388] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.001413] (-) JobUnselected: {'identifier': 'ldlidar'}
[0.001437] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.001461] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.001486] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.001511] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.001536] (-) JobUnselected: {'identifier': 'multi_lidar_calibration'}
[0.001562] (-) JobUnselected: {'identifier': 'multi_lidar_calibrator'}
[0.001587] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001611] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001636] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.001660] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001684] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001709] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.001733] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001758] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.001782] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001806] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001831] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001855] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001879] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001904] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001928] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.001953] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001977] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.002001] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.002026] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.002050] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.002075] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.002099] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.002123] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.002148] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.002174] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.002199] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.002225] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.002250] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002274] (-) JobUnselected: {'identifier': 'nav2_waypoint_cycle'}
[0.002299] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002324] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.002349] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.002374] (-) JobUnselected: {'identifier': 'navigation2'}
[0.002399] (-) JobUnselected: {'identifier': 'nmea_msgs'}
[0.002424] (-) JobUnselected: {'identifier': 'nmea_navsat_driver'}
[0.002448] (-) JobUnselected: {'identifier': 'ollama_ros_chat'}
[0.002472] (-) JobUnselected: {'identifier': 'ollama_ros_msgs'}
[0.002497] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.002521] (-) JobUnselected: {'identifier': 'orb_slam2_ros'}
[0.002547] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.002571] (-) JobUnselected: {'identifier': 'serial'}
[0.002607] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.002634] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.002683] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.002711] (-) JobUnselected: {'identifier': 'tts'}
[0.002737] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.002762] (-) JobUnselected: {'identifier': 'ublox'}
[0.002786] (-) JobUnselected: {'identifier': 'ublox_gps'}
[0.002811] (-) JobUnselected: {'identifier': 'ublox_msgs'}
[0.002836] (-) JobUnselected: {'identifier': 'ublox_serialization'}
[0.002860] (-) JobUnselected: {'identifier': 'ultralytics_ros2'}
[0.002885] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.002910] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.002934] (-) JobUnselected: {'identifier': 'wheeltec_aiui'}
[0.002958] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
